TRANSACTION_ID,PRODUCT_ID,PRODUCT_NAME,PRODUCT_PRICE,CUSTOMER_ID,CUSTOMER_NAME,GENDER,STORE_ID,STORE_NAME,SUPPLIER_ID,SUPPLIER_NAME,TIME_ID,TIME,DATE,WEEKEND,HALF_OF_YEAR,MONTH,QUARTER,YEAR,QUANTITY,TOTAL_SALES
186650,2,Dell XPS 13 Laptop,1299.99,1,John Doe,Male,2,Tech Haven,2,Dell Technologies,7,06:11:00,2019-04-01,false,1,4,2,2019,55,71499.45
183517,11,LG OLED C1 4K TV,2499.99,1,John Doe,Male,1,Electro Mart,11,LG Electronics,41,08:23:00,2019-04-01,false,1,4,2,2019,61,152499.39
180711,29,AOC CQ32G1 Curved Gaming Monitor,349.99,1,John Doe,Male,4,Game Zone,27,AOC International,45,08:37:00,2019-04-01,false,1,4,2,2019,32,11199.68
183201,101,Red Tomatoes,1899.99,1,John Doe,Male,51,Pakistan,51,Pakistan,54,09:01:00,2019-04-01,false,1,4,2,2019,72,136799.28
189887,99,Jabra Elite 75t True Wireless Earbuds,149.99,2,Jane Smith,Female,3,Sound Zone,37,Jabra,114,10:43:00,2019-04-01,false,1,4,2,2019,49,7349.51
176981,21,DJI Mavic Air 2 Drone,799.99,1,John Doe,Male,6,Photo World,20,DJI,143,11:29:00,2019-04-01,false,1,4,2,2019,58,46399.42
30308,101,Red Tomatoes,1899.99,1,John Doe,Male,51,Pakistan,51,Pakistan,166,12:00:00,2019-04-01,false,1,4,2,2019,61,115899.39
183225,10,Fitbit Charge 5,179.99,1,John Doe,Male,7,Health Zone,10,Fitbit Inc.,167,12:02:00,2019-04-01,false,1,4,2,2019,12,2159.88
179337,101,Red Tomatoes,1899.99,1,John Doe,Male,51,Pakistan,51,Pakistan,173,12:15:00,2019-04-01,false,1,4,2,2019,77,146299.23
189686,11,LG OLED C1 4K TV,2499.99,1,John Doe,Male,1,Electro Mart,11,LG Electronics,198,12:50:00,2019-04-01,false,1,4,2,2019,42,104999.58
248165,29,AOC CQ32G1 Curved Gaming Monitor,349.99,1,John Doe,Male,4,Game Zone,27,AOC International,204,13:02:00,2019-04-01,false,1,4,2,2019,18,6299.82
191020,10,Fitbit Charge 5,179.99,1,John Doe,Male,7,Health Zone,10,Fitbit Inc.,215,13:13:00,2019-04-01,false,1,4,2,2019,69,12419.31
182875,8,Alienware Aurora Gaming PC,1799.99,1,John Doe,Male,5,InnoTech,8,Alienware (Dell),225,13:22:00,2019-04-01,false,1,4,2,2019,30,53999.70
181731,11,LG OLED C1 4K TV,2499.99,1,John Doe,Male,1,Electro Mart,11,LG Electronics,226,13:22:00,2019-04-01,false,1,4,2,2019,38,94999.62
177516,21,DJI Mavic Air 2 Drone,799.99,1,John Doe,Male,6,Photo World,20,DJI,237,13:35:00,2019-04-01,false,1,4,2,2019,31,24799.69
184560,11,LG OLED C1 4K TV,2499.99,1,John Doe,Male,1,Electro Mart,11,LG Electronics,239,13:38:00,2019-04-01,false,1,4,2,2019,38,94999.62
248172,21,DJI Mavic Air 2 Drone,799.99,1,John Doe,Male,6,Photo World,20,DJI,260,14:07:00,2019-04-01,false,1,4,2,2019,59,47199.41
179926,99,Jabra Elite 75t True Wireless Earbuds,149.99,1,John Doe,Male,3,Sound Zone,37,Jabra,265,14:10:00,2019-04-01,false,1,4,2,2019,57,8549.43
184027,99,Jabra Elite 75t True Wireless Earbuds,149.99,1,John Doe,Male,3,Sound Zone,37,Jabra,272,14:28:00,2019-04-01,false,1,4,2,2019,36,5399.64
177073,2,Dell XPS 13 Laptop,1299.99,3,Michael Johnson,Male,2,Tech Haven,2,Dell Technologies,311,15:59:00,2019-04-01,false,1,4,2,2019,10,12999.90
188594,10,Fitbit Charge 5,179.99,1,John Doe,Male,7,Health Zone,10,Fitbit Inc.,317,16:05:00,2019-04-01,false,1,4,2,2019,48,8639.52
182814,10,Fitbit Charge 5,179.99,1,John Doe,Male,7,Health Zone,10,Fitbit Inc.,319,16:09:00,2019-04-01,false,1,4,2,2019,21,3779.79
182644,29,AOC CQ32G1 Curved Gaming Monitor,349.99,1,John Doe,Male,4,Game Zone,27,AOC International,321,16:13:00,2019-04-01,false,1,4,2,2019,42,14699.58
186974,2,Dell XPS 13 Laptop,1299.99,1,John Doe,Male,2,Tech Haven,2,Dell Technologies,328,16:23:00,2019-04-01,false,1,4,2,2019,59,76699.41
